GENUS.SPECIES,DORMANCY.CLASS
Afzelia quanzensis,ND
Afzelia xylocarpa,PY
Agalinis auriculata,PD
Agalinis fasciculata,PD
Agalinis skinneriana,PD
Agalinis tenuifolia,PD
Agapetes scortechinii,PD
Agastache foeniculum,PD
Agastache urticifolia,ND
Agathis alba,ND
Agathis australis,ND
Agathis dammara,ND
Agathis loranthifolia,ND
Agathis robusta,ND
Agathis robusta,ND
Agathis robusta,ND
Agathosma apiculata,PD
Agathosma betulina,PD
Agathosma stenopetala,PD
Agave americana,PD
Agave lecheguillac,PD
Agave macroacantha,ND
Agave parryic,PD
Agelaea pentagyna,ND
Ageratina altissima,PD
Ageratina luciae-bruniae,PD
Ageratum conyzoides,ND
Ageratum conyzoides,ND
Ageratum conyzoides,PD
Aglaia clarkii,ND
Aglaia forbesii,PD
Aglaia formosana,ND
Aglaia ganggo,ND
Aglaia grandis,PD
Aglaia leucophylla,PD
Aglaia mackiana,ND
Aglaia macrostigma,PD
Aglaia malaccensis,ND
Aglaia ridleyi,ND
Agonandra brasiliensis,MPD
Agonis flexuosa,ND
Agonis linearifolia,PD
Agoseris cuspidata,PD
Agoseris glauca,PD
Agostis stolonifera,PD
Agrimonia pilosa,PD
Agrimonia pilosa,PD
Agriophyllum squarrosum,ND
Agriophyllum squarrosum,ND
Agriophyllum squarrosum,PD
Agropyron caninum,ND
Agropyron cristatum,PD
Agropyron cristatum,PD
Agropyron repens,ND
Agropyron spicatum,PD
Agropyron tenerum,PD
Agropyron trachycaulon,PD
Agrostemma githago,PD
Agrostis gigantea,PD
Agrostis hugoniana,PD
Agrostis micrantha,PD
Agrostis perlaxa,PD
Agrostis tenuis,PD
Agrostis vinealis,ND
Agrostocrinum scabrum,MPD
Aidia wallichiana,ND
Aidia yunnanensis,ND
Aidia yunnanensis,PD
Ailanthus altissima,PD
Ailanthus excelsa,ND
Ailanthus excelsa,ND
Ailanthus grandis,PD
Ailanthus grandis,PD
Ailanthus integrifolia,PD
Aiphanes acanthophylla,MPD
Aiphanes caryotaefolia,MPD
Aiphanes erosa,MPD
Aira caryophyllea,PD
Aira praecox,PD
Aira praecox,PD
Aisandra butyracea,ND
Ajania myriantha,PD
Ajania przewalskii,PD
Ajania salicifolia,ND
Ajania tenuifolia,PD
Ajuga lupulina,PD
Alangium chinense,PD
Alangium ebenaceum,PD
Alangium kurzii,PD
Alangium ridleyi,PD
Albizia adinocephala,ND
Albizia amara,PY
Albizia anthelmintica,ND
Albizia anthelmintica,PY
Albizia arunachalensis,PY
Albizia brevifolia,PY
Albizia chinensis,PY
Albizia chinensis,PY
Albizia falcataria,PY
Albizia falcataria,PY
Albizia grandibracteata,PY
Albizia guachepele,PY
Albizia gummifera,PY
Albizia harveyi,ND
Albizia harveyi,PY
Albizia hasslerii,PY
Albizia lebbek,PY
Albizia lucidior,PY
Albizia niopoides,PY
Albizia odoratissima,ND
Albizia odoratissima,PY
Albizia odoratissima,PY
Albizia odoratissima,PY
Albizia petersiana,ND
Albizia petersiana,PY
Albizia polycephala,PY
Albizia procera,PY
Albizia schimperiana,PY
Albizia stipulata,ND
Albizia stipulata,PY
Albizia tanganyicensis,ND
Albizia tanganyicensis,PY
Albizzia adianthifolia,ND
Albizzia coriaria,ND
Albizzia ferruginea,ND
Albizzia glaberrima,ND
Albizzia julibrissin,PY
Albizzia pedicellata,ND
Albizzia zygia,ND
Albuca exuviata,MPD
Albuca pachychlamys,MD
Alcantarea imperialis,ND
Alcantarea imperialis,ND
Alchemilla cryptantha,PD
Alchornea costaricensis,ND
Alchornea glandulosa,PD
Alchornea latifolia,ND
Alchornea latifolia,PD
Alchornea triplinervia,PD
Alchornea triplinervia,PD
Aldina latifolia,ND
Alectryon excelsus,PY
Alectyron macrococcus,PD
Alepidea amatymbica,MPD
Alepidea natalensis,MPD
Aletris glabra,MPD
Aletris spicata,MPD
Aleurites moluccana,PD
Alexa grandiflora,ND
Alexgeorgea subterranea,PD
Alfaroa costaricensis,ND
Alhagi pseudalhagi,PY
Alibertia sessilis,PD
Alisma gramineum,PD
Alisma lanceolatum,PD
Alisma plantago-aquatica,ND
Alisma plantago-aquatica,PD
Alisma subcordata,PD
Allagoptera campestre,MPD
Allanblackia floribunda,PD
Allanblackia stuhlmannii,ND
Allenia autrani,PD
Allenrolfea occidentalis,PD
Allenrolfea occidentalis,PD
Alliaria petiolata,PD
Alliaria petiolata,PD
Allium aaeae,PD
Allium aflatunense,PD
Allium altissimum,PD
Allium angulosum,PD
Allium anisopodium,PD
Allium bidentatum,PD
Allium burdickii,MPD
Allium canadense,PD
Allium cernuum,PD
Allium chrysanthum,PD
Allium chrysocephalum,PD
Allium cyanceum,PD
Allium decipiens,PD
Allium karataviense,PD
Allium nigrum,PD
Allium polyrhizum,PD
Allium polyrrhizum,PD
Allium przewalskianum,PD
Allium rothii,PD
Allium rude,PD
Allium sewerzowii,PD
Allium sikkimense,PD
Allium staticiforme,PD
Allium subhirsutum,PD
Allium suworowii,PD
Allium tenuissimum,PD
Allium tricoccum,MPD
Allium truncatum,PD
Allium tuberosum,PD
Allium ursinum,MPD
Allium victorialis,MPD
Allium victorialis,PD
Allocasuarina defungens,ND
Allocasuarina diminuta,ND
Allocasuarina distyla,ND
Allocasuarina fibrosa,ND
Allocasuarina glareicola,ND
Allocasuarina glareicola,ND
Allocasuarina gymnanthera,ND
Allocasuarina humilis,PD
Allocasuarina luehmanii,ND
Allocasuarina nana,ND
Allocasuarina nana,ND
Allocasuarina paludosa,ND
Allocasuarina paludosa,ND
Allocasuarina portuensis,ND
Allocasuarina simulans,ND
Allocasuarina tortiramula,ND
Allocasuarina torulosa,PD
Allocasuarina verticillata,PD
Allophyllus africanus,ND
Allophyllus cobbe,PD
Allophylus cominia,PD
Allophylus edulis,ND
Allophylus psilospermus,PY
Alloteropsis semialata,PD
Alnus acuminata,ND
Alnus crispa,PD
Alnus formosana,ND
Alnus glutinosa,PD
Alnus incana,ND
Alnus jorullensis,ND
Alnus maritima,ND
Alnus maritima,PD
Alnus nepalensis,ND
Alnus nepalensis,PD
Alnus nepalensis,PD
Alnus nitida,ND
Alnus oblongifolia,PD
Alnus rubra,ND
Alnus rubra,PD
Alnus rubra,PD
Alnus rugosa,PD
Alnus sieboldiana,PD
Alnus sinuata,PD
Alnus tenuifolia,ND
Alnus tenuifolia,PD
Alnus viridis,PD
Aloe barbadense,MD
Aloe ferox,PD
Alopecurus carolinianus,PD
Alopecurus geniculatus,PD
Alopecurus myosuroides,PD
Alopecurus pratensis,PD
Aloysia gratissima,PD
Aloysia virgata,ND
Alphitonia excelsa,PD
Alphitonia excelsa,PY
Alphitonia excelsa,PY
Alphitonia incana,PY
Alphitonia neocaledonica,PY
Alphitonia neocaledonica,PY
Alphitonia petriei,PY
Alphitonia ponderosa,ND
Alphitonia ponderosa,PY
Alphonsea boniana,MPD
Alseis blackiana,ND
Alseis blackiana,PD
Alseis floribunda,PD
Alseodaphne semecarprifolia,PD
Alseuosmia macrophylla,PD
Alseuosmia pusila,PD
Alseuosmia quercifolia,PD
Alsinidendron obovatum,ND
Alsinidendron obovatum,PD
Alsinidendron trinerve,ND
Alsinidendron trinerve,PD
Alstonia angustiloba,ND
Alstonia boonei,PD
Alstonia congensis,ND
Alstonia rostrata,ND
Alstonia rostrata,PD
Alstonia scholaris,ND
Alstonia scholaris,ND
Alstroemeria ligtu,MPD
Alstroemeria pseudospathulata,MPD
Alternanthera nodiflora,PD
Alternanthera sessilis,PD
Althenia filiformis,PD
Altingia chinensis,ND
Altingia excelsa,ND
Altingia excelsa,PD
Altingia excelsa,PD
Alvaradoa amorphoides,PD
Alyogyne hakeifolia,PY
Alyogyne huegelii,PY
Alysicarpus monilifer,PYPD
Alysicarpus ovalifolius,PY
Alysicarpus vaginalis,PYPD
Alyssum akamasicum,PD
Alyssum alyssoides,PD
Alyssum calycinum,PD
Alyssum saxatile,PD
Alyxia buxifolia,PD
Alyxia oliviformis,ND
Alyxia oliviformis,PD
Amaioua corymbosa,MPD
Amaranthus albus,PD
Amaranthus cannabinus,PD
Amaranthus caudatus,PD
Amaranthus deflexus,PD
Amaranthus dubius,PD
Amaranthus graecizans,PD
Amaranthus greggii,ND
Amaranthus hybridus,PD
Amaranthus hybridusk,PD
Amaranthus lividus,PD
Amaranthus lividus,PD
Amaranthus powellii,PD
Amaranthus pumilus,PD
Amaranthus pumilus,PD
Amaranthus retroflexus,PD
Amaranthus tuberculatus,PD
Amaryllis belladonna,MPD
Ambelania acida,PD
